Date,Description,Amount
2025-10-01,LOBLAWS #1234,-45.67
2025-10-02,STARBUCKS COFFEE,-5.75
2025-10-03,SHELL GAS STATION,-60.00
2025-10-05,UBER TRIP,-15.50
2025-10-08,TIM HORTONS,-8.25
2025-10-10,AMAZON.COM,-89.99
2025-10-12,METRO GROCERY,-67.43
2025-10-15,NETFLIX SUBSCRIPTION,-16.99
2025-10-18,SHOPPERS DRUG MART,-24.50
2025-10-20,CINEPLEX ENTERTAINMENT,-34.00
2025-10-22,UBER EATS,-42.75
2025-10-25,COSTCO WHOLESALE,-156.89
2025-10-28,ROGERS COMMUNICATIONS,-85.00
2025-10-30,LCBO/LIQUOR STORE,-45.00
